booking_id,booking_ts,agency_id,user_id,product_type,route_type,origin_country,dest_country,lead_time_days,booking_value,passengers_count,payment_method,booking_status
B000001,2025-07-26 02:24:00,A0072,U00567,hotel,domestic,IN,IN,6,205.91,6,credit_line,failed
B000002,2025-11-23 10:58:00,A0082,U00607,flight,international,US,US,1,17493.55,1,credit_line,confirmed
B000003,2025-01-29 02:51:00,A0105,U00272,package,domestic,IN,IN,19,332.24,6,credit_line,confirmed
B000004,2025-02-13 18:43:00,A0179,U00642,hotel,domestic,US,US,3,469.32,2,credit_line,confirmed
B000005,2025-03-31 06:48:00,A0124,U00448,hotel,domestic,IN,IN,16,221.84,3,credit_line,confirmed
B000006,2025-09-19 09:14:00,A0172,U00078,flight,domestic,US,US,9,186.71,1,credit_line,confirmed
B000007,2025-03-30 23:31:00,A0039,U00349,hotel,international,AE,UK,63,2748.58,3,credit_line,confirmed
B000008,2025-02-01 14:40:00,A0106,U00587,flight,international,IN,SG,54,1919.76,1,credit_line,confirmed
B000009,2025-08-14 17:43:00,A0121,U00207,flight,international,IN,DE,68,1337.13,2,credit_line,pending
B000010,2025-04-17 03:22:00,A0149,U00099,flight,international,IN,US,51,1012.24,3,credit_line,confirmed
B000011,2025-09-13 03:10:00,A0154,U00581,flight,international,IN,US,70,1370.62,1,credit_line,confirmed
B000012,2025-09-16 05:11:00,A0102,U00513,flight,international,IN,IN,30,423.8,3,credit_line,confirmed
B000013,2025-12-29 20:05:00,A0145,U00117,flight,domestic,IN,IN,14,234.38,4,credit_line,confirmed
B000014,2025-12-31 06:12:00,A0168,U00018,flight,domestic,IN,IN,9,457.31,1,card,confirmed
B000015,2025-11-10 03:53:00,A0176,U00298,hotel,international,SG,UK,61,351.2,3,bank,confirmed
B000016,2025-05-04 07:21:00,A0148,U00059,flight,domestic,IN,IN,9,57.07,2,credit_line,confirmed
B000017,2025-07-21 18:14:00,A0025,U00455,flight,domestic,UK,UK,12,320.5,4,credit_line,confirmed
B000018,2025-05-19 23:23:00,A0010,U00183,flight,domestic,US,US,15,669.8,3,bank,confirmed
B000019,2025-10-25 03:34:00,A0153,U00156,hotel,domestic,IN,IN,17,605.48,2,credit_line,confirmed
B000020,2025-12-01 00:58:00,A0067,U00274,hotel,domestic,AE,AE,9,179.54,2,credit_line,confirmed
B000021,2025-05-24 23:58:00,A0005,U00245,flight,international,IN,IN,1,18086.9,9,credit_line,confirmed
B000022,2025-12-25 15:36:00,A0013,U00168,package,domestic,IN,IN,6,399.21,2,credit_line,confirmed
B000023,2025-04-07 15:08:00,A0115,U00307,flight,international,UK,TH,59,537.73,2,credit_line,pending
B000024,2025-04-12 11:23:00,A0131,U00145,package,international,IN,SG,3,421.17,10,credit_line,failed
B000025,2025-10-04 01:30:00,A0069,U00676,flight,international,IN,DE,10,1187.7,1,credit_line,confirmed
B000026,2025-12-10 00:53:00,A0068,U00383,flight,international,IN,DE,1,23990.24,1,credit_line,failed
B000027,2025-01-08 02:36:00,A0189,U00736,flight,domestic,UK,UK,14,242.78,9,credit_line,confirmed
B000028,2025-01-25 16:48:00,A0051,U00035,flight,domestic,SG,SG,13,167.01,3,credit_line,confirmed
B000029,2025-06-27 14:25:00,A0123,U00173,flight,domestic,US,US,13,556.53,2,credit_line,confirmed
B000030,2025-09-16 13:32:00,A0122,U00252,hotel,international,US,TH,35,2162.98,1,credit_line,confirmed
B000031,2025-12-03 21:19:00,A0108,U00735,hotel,domestic,IN,IN,16,186.81,2,credit_line,confirmed
B000032,2025-07-13 09:36:00,A0039,U00174,flight,international,IN,SG,75,359.34,2,credit_line,confirmed
B000033,2025-06-30 01:31:00,A0069,U00055,flight,domestic,IN,IN,18,261.71,2,card,confirmed
B000034,2025-11-01 18:26:00,A0005,U00245,flight,international,AE,UK,1,21440.23,2,credit_line,confirmed
B000035,2025-10-08 06:02:00,A0041,U00678,flight,domestic,AE,AE,5,179.8,2,credit_line,confirmed
