booking_id,fraud_label,fraud_reason
B000001,1,shared infra across multiple fraud users
B000002,1,credit bustout: high value international + high loss
B000003,0,legit
B000004,0,legit
B000005,0,legit
B000006,0,legit
B000007,0,legit
B000008,0,legit
B000009,0,legit
B000010,0,legit
B000011,0,legit
B000012,0,legit
B000013,0,legit
B000014,0,legit
B000015,0,legit
B000016,1,new device/ip + short lead time
B000017,0,legit
B000018,0,legit
B000019,0,legit
B000020,0,legit
B000021,1,credit bustout: high value international + high loss
B000022,0,legit
B000023,0,legit
B000024,1,new user with risky infra + abnormal velocity
B000025,0,legit
B000026,1,credit bustout: high value international + high loss
B000027,0,legit
B000028,0,legit
B000029,0,legit
B000030,0,legit
B000031,0,legit
B000032,0,legit
B000033,0,legit
B000034,1,credit bustout: high value international + high loss
B000035,0,legit
B000036,0,legit
B000037,1,new device/ip + short lead time
B000038,0,legit
B000039,0,legit
B000040,0,legit
B000041,0,legit
B000042,0,legit
B000043,0,legit
B000044,0,legit
B000045,0,legit
B000046,0,legit
B000047,0,legit
B000048,0,legit
B000049,0,legit
B000050,0,legit
B000051,0,legit
B000052,0,legit
B000053,0,legit
B000054,0,legit
B000055,0,legit
B000056,1,new device/ip + short lead time
B000057,0,legit
B000058,0,legit
B000059,0,legit
B000060,0,legit
B000061,0,legit
B000062,0,legit
B000063,0,legit
B000064,1,shared infra across multiple fraud users
B000065,0,legit
B000066,0,legit
B000067,1,credit bustout: high value international + high loss
B000068,0,legit
B000069,0,legit
B000070,0,legit
B000071,0,legit
B000072,0,legit
B000073,0,legit
B000074,0,legit
B000075,0,legit
B000076,0,legit
B000077,0,legit
B000078,0,legit
B000079,1,shared infra across multiple fraud users
B000080,0,legit
B000081,0,legit
B000082,1,new device/ip + short lead time
B000083,0,legit
B000084,1,shared infra across multiple fraud users
B000085,0,legit
B000086,0,legit
B000087,0,legit
B000088,0,legit
B000089,0,legit
B000090,0,legit
B000091,0,legit
B000092,0,legit
B000093,0,legit
B000094,0,legit
B000095,0,legit
B000096,0,legit
B000097,0,legit
B000098,0,legit
B000099,0,legit
B000100,1,shared infra across multiple fraud users
B000101,1,shared infra across multiple fraud users
B000102,0,legit
B000103,0,legit
B000104,0,legit
B000105,0,legit
B000106,0,legit
B000107,0,legit
B000108,0,legit
B000109,0,legit
B000110,0,legit
B000111,0,legit
B000112,0,legit
B000113,0,legit
B000114,0,legit
B000115,0,legit
B000116,0,legit
B000117,1,shared infra across multiple fraud users
B000118,0,legit
B000119,0,legit
B000120,0,legit
B000121,0,legit
B000122,0,legit
B000123,0,legit
B000124,1,burst/automation pattern in activity
B000125,0,legit
B000126,0,legit
B000127,0,legit
B000128,1,shared infra across multiple fraud users
B000129,0,legit
B000130,0,legit
B000131,0,legit
B000132,0,legit
B000133,0,legit
B000134,0,legit
B000135,1,credit bustout: high value international + high loss
B000136,0,legit
B000137,0,legit
B000138,0,legit
B000139,0,legit
B000140,1,user has abnormally high cancellation rate
B000141,1,burst/automation pattern in activity
B000142,0,legit
B000143,0,legit
B000144,0,legit
B000145,0,legit
B000146,0,legit
B000147,0,legit
B000148,0,legit
B000149,1,user has abnormally high cancellation rate
B000150,0,legit
B000151,0,legit
B000152,0,legit
B000153,0,legit
B000154,0,legit
B000155,0,legit
B000156,0,legit
B000157,0,legit
B000158,0,legit
B000159,0,legit
B000160,0,legit
B000161,1,new device/ip + short lead time
B000162,0,legit
B000163,0,legit
B000164,0,legit
B000165,1,shared infra across multiple fraud users
B000166,1,shared infra across multiple fraud users
B000167,0,legit
B000168,0,legit
B000169,0,legit
B000170,0,legit
B000171,1,new user with risky infra + abnormal velocity
B000172,0,legit
B000173,0,legit
B000174,0,legit
B000175,0,legit
B000176,1,user has abnormally high cancellation rate
B000177,0,legit
B000178,1,credit bustout: high value international + high loss
B000179,0,legit
B000180,0,legit
B000181,0,legit
B000182,0,legit
B000183,0,legit
B000184,0,legit
B000185,0,legit
B000186,0,legit
B000187,0,legit
B000188,0,legit
B000189,0,legit
B000190,0,legit
B000191,1,new device/ip + short lead time
B000192,1,user has abnormally high cancellation rate
B000193,0,legit
B000194,0,legit
B000195,0,legit
B000196,0,legit
B000197,0,legit
B000198,1,shared infra across multiple fraud users
B000199,1,user has abnormally high cancellation rate
B000200,0,legit
B000201,0,legit
B000202,0,legit
B000203,0,legit
B000204,1,new device/ip + short lead time
B000205,0,legit
B000206,0,legit
B000207,0,legit
B000208,0,legit
B000209,0,legit
B000210,0,legit
B000211,0,legit
B000212,0,legit
B000213,0,legit
B000214,1,shared infra across multiple fraud users
B000215,0,legit
B000216,0,legit
B000217,0,legit
B000218,0,legit
B000219,0,legit
B000220,0,legit
B000221,0,legit
B000222,0,legit
B000223,0,legit
B000224,0,legit
B000225,0,legit
B000226,0,legit
B000227,0,legit
B000228,0,legit
B000229,0,legit
B000230,0,legit
B000231,0,legit
B000232,0,legit
B000233,0,legit
B000234,0,legit
B000235,0,legit
B000236,0,legit
B000237,0,legit
B000238,0,legit
B000239,1,shared infra across multiple fraud users
B000240,0,legit
B000241,0,legit
B000242,0,legit
B000243,0,legit
B000244,0,legit
B000245,0,legit
B000246,0,legit
B000247,0,legit
B000248,0,legit
B000249,1,new device/ip + short lead time
B000250,0,legit
B000251,0,legit
B000252,0,legit
B000253,0,legit
B000254,0,legit
B000255,0,legit
B000256,1,new device/ip + short lead time
B000257,0,legit
B000258,0,legit
B000259,0,legit
B000260,0,legit
B000261,0,legit
B000262,0,legit
B000263,0,legit
B000264,0,legit
B000265,0,legit
B000266,0,legit
B000267,0,legit
B000268,0,legit
B000269,0,legit
B000270,0,legit
B000271,0,legit
B000272,1,new user with risky infra + abnormal velocity
B000273,0,legit
B000274,0,legit
B000275,0,legit
B000276,0,legit
B000277,0,legit
B000278,0,legit
B000279,0,legit
B000280,0,legit
B000281,0,legit
B000282,1,credit bustout: high value international + high loss
B000283,0,legit
B000284,0,legit
B000285,0,legit
B000286,0,legit
B000287,0,legit
B000288,0,legit
B000289,0,legit
B000290,0,legit
B000291,0,legit
B000292,0,legit
B000293,0,legit
B000294,0,legit
B000295,0,legit
B000296,0,legit
B000297,0,legit
B000298,0,legit
B000299,0,legit
B000300,0,legit
B000301,1,shared infra across multiple fraud users
B000302,0,legit
B000303,0,legit
B000304,0,legit
B000305,0,legit
B000306,0,legit
B000307,0,legit
B000308,0,legit
B000309,0,legit
B000310,0,legit
B000311,0,legit
B000312,0,legit
B000313,0,legit
B000314,0,legit
B000315,0,legit
B000316,0,legit
B000317,0,legit
B000318,0,legit
B000319,0,legit
B000320,0,legit
B000321,0,legit
B000322,0,legit
B000323,0,legit
B000324,0,legit
B000325,0,legit
B000326,0,legit
B000327,0,legit
B000328,0,legit
B000329,1,new user with risky infra + abnormal velocity
B000330,0,legit
B000331,0,legit
B000332,1,burst/automation pattern in activity
B000333,0,legit
B000334,0,legit
B000335,0,legit
B000336,0,legit
B000337,0,legit
B000338,0,legit
B000339,0,legit
B000340,0,legit
B000341,0,legit
B000342,0,legit
B000343,0,legit
B000344,1,credit bustout: high value international + high loss
B000345,0,legit
B000346,0,legit
B000347,0,legit
B000348,0,legit
B000349,0,legit
B000350,0,legit
B000351,0,legit
B000352,0,legit
B000353,0,legit
B000354,0,legit
B000355,0,legit
B000356,1,shared infra across multiple fraud users
B000357,0,legit
B000358,0,legit
B000359,0,legit
B000360,0,legit
B000361,0,legit
B000362,0,legit
B000363,0,legit
B000364,0,legit
B000365,0,legit
B000366,0,legit
B000367,0,legit
B000368,0,legit
B000369,0,legit
B000370,1,new device/ip + short lead time
B000371,0,legit
B000372,0,legit
B000373,0,legit
B000374,0,legit
B000375,0,legit
B000376,0,legit
B000377,0,legit
B000378,0,legit
B000379,0,legit
B000380,0,legit
B000381,1,fraud user suspicious booking pattern
B000382,0,legit
B000383,0,legit
B000384,1,credit bustout: high value international + high loss
B000385,0,legit
B000386,0,legit
B000387,0,legit
B000388,0,legit
B000389,0,legit
B000390,0,legit
B000391,0,legit
B000392,0,legit
B000393,1,new device/ip + short lead time
B000394,0,legit
B000395,0,legit
B000396,0,legit
B000397,0,legit
B000398,0,legit
B000399,0,legit
B000400,0,legit
B000401,0,legit
B000402,0,legit
B000403,0,legit
B000404,1,credit bustout: high value international + high loss
B000405,0,legit
B000406,0,legit
B000407,0,legit
B000408,0,legit
B000409,0,legit
B000410,0,legit
B000411,0,legit
B000412,1,burst/automation pattern in activity
B000413,0,legit
B000414,0,legit
B000415,0,legit
B000416,0,legit
B000417,0,legit
B000418,0,legit
B000419,0,legit
B000420,0,legit
B000421,0,legit
B000422,1,burst/automation pattern in activity
B000423,0,legit
B000424,0,legit
B000425,0,legit
B000426,1,shared infra across multiple fraud users
B000427,0,legit
B000428,0,legit
B000429,0,legit
B000430,0,legit
B000431,0,legit
B000432,0,legit
B000433,0,legit
B000434,0,legit
B000435,0,legit
B000436,0,legit
B000437,0,legit
