,is_vpn_or_proxy,device_switch_flag,avg_logins_per_day,failed_login_ratio
B000001,0.0,1.0,0.42662057044079515,0.1981931112365895
B000002,0.0,0.0,0.177009507346586,0.08413325804630153
B000003,0.0,0.0,0.07363872082973207,0.0502540937323546
B000004,0.0,0.0,0.06534140017286084,0.04084321475625824
B000005,0.0,0.0,0.134485738980121,0.20082815734989648
B000006,0.0,0.0,0.19567847882454625,0.05947675512892905
B000007,0.0,0.0,0.07536732929991358,0.05213626952757387
B000008,0.0,0.0,0.16802074330164218,0.03726708074534161
B000009,0.0,0.0,0.00881590319792567,0.024656502917372484
B000010,0.0,0.0,0.11166810717372515,0.054959533220402784
B000011,0.0,0.0,0.052031114952463264,0.03199698851872765
B000012,0.0,0.0,0.19118409680207432,0.01919819311123659
B000013,0.0,0.0,0.04338807260155574,0.09504987765857331
B000014,0.0,0.0,0.03768366464995679,0.04310182571052136
B000015,0.0,0.0,0.1694036300777874,0.04253717297195558
B000016,0.0,1.0,0.3113223854796889,0.9917184265010353
B000017,0.0,0.0,0.1773552290406223,0.04121964991530209
B000018,0.0,0.0,0.1076923076923077,0.14605684170901562
B000019,0.0,0.0,0.0968020743301642,0.09392057218144174
B000020,0.0,0.0,0.06499567847882454,0.12892904197252025
B000021,1.0,0.0,0.1891097666378565,0.04460756634669678
B000022,0.0,0.0,0.14105445116681073,0.03914925654056089
B000023,0.0,0.0,0.05324114088159032,0.0178806700545831
B000024,0.0,1.0,0.541400172860847,0.1863354037267081
B000025,0.0,0.0,0.07847882454624028,0.07886316581968755
B000026,1.0,0.0,0.3455488331892826,0.14530397139092793
B000027,0.0,0.0,0.05410544511668107,0.02145680406549972
B000028,0.0,0.0,0.12999135695764907,0.049501223414266896
B000029,0.0,0.0,0.12480553154710457,0.03293807641633728
B000030,0.0,0.0,0.18513396715643907,0.0399021268586486
B000031,0.0,0.0,0.1752808988764045,0.08789760963674008
B000032,0.0,0.0,0.05946413137424373,0.12535290796160362
B000033,0.0,0.0,0.08522039757994813,0.021645021645021648
B000034,1.0,0.0,0.1891097666378565,0.04460756634669678
B000035,0.0,0.0,0.19152981849611062,0.06907585168454734
B000036,0.0,0.0,0.07156439066551426,0.0873329568981743
B000037,0.0,1.0,0.3598962834917891,0.9947299077733862
B000038,0.0,0.0,0.12999135695764907,0.12196499153020891
B000039,0.0,0.0,0.043215211754537596,0.010351966873706004
B000040,0.0,0.0,0.1108038029386344,0.056841709015622056
B000041,0.0,0.0,0.06603284356093345,0.015433841520798044
B000042,0.0,0.0,0.05514261019878997,0.0735930735930736
B000043,0.0,0.0,0.12117545375972341,0.001693958215697346
B000044,0.0,0.0,0.22627484874675885,0.01204592508940335
B000045,0.0,0.0,0.1815038893690579,0.07716920760399022
B000046,0.0,0.0,0.05548833189282627,0.1093544137022398
B000047,0.0,0.0,0.09645635263612791,0.05458309806135893
B000048,0.0,0.0,0.06949006050129644,0.01637492941840768
B000049,0.0,0.0,0.07986171132238548,0.0632411067193676
B000050,0.0,0.0,0.08383751080380293,0.196875588179936
B000051,0.0,0.0,0.11374243733794295,0.07039337474120083
B000052,0.0,0.0,0.1989628349178911,0.04009034443817053
B000053,0.0,0.0,0.0,0.05251270468661773
B000054,0.0,0.0,0.10492653414001729,0.09109730848861285
B000055,0.0,0.0,0.0,0.0033879164313946925
B000056,0.0,1.0,0.3113223854796889,0.9917184265010353
B000057,0.0,0.0,0.0,0.01562205910031997
B000058,0.0,0.0,0.17752808988764043,0.008093355919442876
B000059,0.0,0.0,0.0,0.012422360248447206
B000060,0.0,0.0,0.051512532411408817,0.028797289666854884
B000061,0.0,0.0,0.05669835782195332,0.06022962544701675
B000062,0.0,0.0,0.20535868625756268,0.034255599472990776
B000063,0.0,0.0,0.025756266205704408,0.019009975531714664
B000064,1.0,1.0,0.42662057044079515,0.1981931112365895
B000065,0.0,0.0,0.13500432152117545,0.04103143233578016
B000066,0.0,0.0,0.11495246326707001,0.003764351590438546
B000067,0.0,1.0,0.37424373379429554,0.023903632599284776
B000068,0.0,0.0,0.0,0.016186711838885752
B000069,0.0,0.0,0.021780466724286948,0.06964050442311313
B000070,1.0,0.0,0.13189282627484875,0.11123658949745906
B000071,0.0,0.0,0.11512532411408816,0.06098249576510447
B000072,0.0,0.0,0.03681936041486603,0.24054206662902314
B000073,0.0,0.0,0.10492653414001729,0.09109730848861285
B000074,0.0,0.0,0.05324114088159032,0.18144174665913795
B000075,0.0,0.0,0.0878133102852204,0.015433841520798044
B000076,0.0,0.0,0.030077787381158166,0.16186711838885753
B000077,0.0,0.0,0.22385479688850474,0.03199698851872765
B000078,0.0,0.0,0.10302506482281763,0.006399397703745529
B000079,1.0,1.0,0.2350907519446845,0.20685111989459815
B000080,0.0,0.0,0.05324114088159032,0.026162243553547904
B000081,0.0,0.0,0.08020743301642178,0.039713909279126665
B000082,1.0,1.0,0.4271391529818496,1.0
B000083,0.0,0.0,0.07830596369922213,0.019574628270280447
B000084,1.0,1.0,0.4311149524632671,0.16581968755881799
B000085,0.0,0.0,0.10665514261019879,0.027291549030679468
B000086,0.0,0.0,0.07623163353500433,0.12271786184829665
