booking_id,booking_ts,agency_id,user_id,product_type,route_type,origin_country,dest_country,lead_time_days,booking_value,passengers_count,payment_method,booking_status,fraud_label,fraud_reason,session_id,device_fingerprint,ip_address,asn,is_vpn_or_proxy,os,browser,time_to_book_seconds,device_switch_flag,event_id,is_cancelled,cancel_delay_days,is_disputed,dispute_delay_days,chargeback_amount,final_loss_amount,total_passengers,suspicious_pax_domains,role,user_age_days,avg_logins_per_day,failed_login_ratio,account_status,email_domain_match_flag,user_fraud_label,user_fraud_type,country,agency_age_days,kyc_status,credit_limit,status,agency_email_domain
B000001,2025-07-26 02:24:00,A0072,U00567,hotel,domestic,IN,IN,6,205.91,6,credit_line,failed,1,shared infra across multiple fraud users,d5f0b9c8-556a-4cde-af57-f00e95d8607a,d0057c74a7ffee4b,149.171.156.40,99914,0,Android,Chrome,48,1,E000001,0,0,0,0,0.0,0.0,6,5,agent,1922,24.68,0.1057,locked,1,1,ring_operator,IN,1022,verified,5000,suspended,aerolink.uk
B000002,2025-11-23 10:58:00,A0082,U00607,flight,international,US,US,1,21512.58,1,credit_line,confirmed,1,credit bustout: high value international + high loss,24f7675a-37e7-4849-a114-b0358f2fd17b,3ddbdb25ceb330e5,123.162.129.23,44839,0,iOS,Chrome,45,0,E000002,0,0,0,0,0.0,0.0,1,0,agent,2138,10.24,0.0451,active,0,1,credit_bustout_user,SG,1788,verified,5000,active,globeways.in
B000003,2025-01-29 02:51:00,A0105,U00272,package,domestic,IN,IN,19,332.24,6,credit_line,confirmed,0,legit,3cec373d-ce5c-4d2b-a090-22cfb7fe62d0,c802ce308ab84b82,5.38.248.97,59354,0,macOS,Firefox,478,0,E000003,0,0,0,0,0.0,0.0,6,0,agent,691,4.26,0.0271,active,1,0,legit,US,2905,verified,10000,active,travelprime.com
B000004,2025-02-13 18:43:00,A0179,U00642,hotel,domestic,US,US,3,469.32,2,credit_line,confirmed,0,legit,a18aa7d5-f8d8-4c10-b29b-564923811da9,c1820b45e082fc67,97.60.235.80,84719,0,macOS,Chrome,187,0,E000004,0,0,0,0,0.0,0.0,2,2,agent,1235,3.78,0.0221,active,1,0,legit,US,517,verified,200000,active,jetstream.ae
B000005,2025-03-31 06:48:00,A0124,U00448,hotel,domestic,IN,IN,16,221.84,3,credit_line,confirmed,0,legit,6ce61576-5bdb-41fd-8130-2d4ef60f5ed7,221af74ceee45242,154.132.66.129,36786,0,Android,Chrome,485,0,E000005,0,0,0,0,0.0,0.0,3,0,agent,2312,7.78,0.1071,active,1,0,legit,IN,883,verified,50000,active,skybound.co
B000006,2025-09-19 09:14:00,A0172,U00078,flight,domestic,US,US,9,186.71,1,credit_line,confirmed,0,legit,1589d813-654e-49b6-8788-86a8c3b8283e,43bc9669a6237d78,117.125.190.44,16495,0,macOS,Chrome,114,0,E000006,0,0,0,0,0.0,0.0,1,0,agent,1868,11.32,0.032,active,0,0,legit,IN,1111,verified,100000,active,routemaster.co
B000007,2025-03-30 23:31:00,A0039,U00349,hotel,international,AE,UK,63,2748.58,3,credit_line,confirmed,0,legit,7679c5e4-6259-4034-9f12-3d46c4c446a4,886ce040f8133afa,71.226.93.216,50773,0,macOS,Chrome,2935,0,E000007,0,0,0,0,0.0,0.0,3,0,agent,1044,4.36,0.0281,active,1,0,legit,SG,1723,verified,200000,active,skyroute.in
B000008,2025-02-01 14:40:00,A0106,U00587,flight,international,IN,SG,54,1919.76,1,credit_line,confirmed,0,legit,54db33a9-aa8e-40b1-9cd7-6509efa30518,94013b226f081804,64.229.114.157,8760,0,Windows,Chrome,228,0,E000008,0,0,0,0,0.0,0.0,1,0,agent,645,9.72,0.0202,active,0,0,legit,IN,1559,verified,5000,active,flybright.ae
B000009,2025-08-14 17:43:00,A0121,U00207,flight,international,IN,DE,68,1337.13,2,credit_line,pending,0,legit,74b68156-35d7-4086-ab7a-19344fb8671d,7090a934dc85a164,108.105.44.246,18779,0,Windows,Chrome,693,0,E000009,0,0,0,0,0.0,0.0,2,2,admin,2292,0.51,0.0135,active,1,0,legit,UK,1853,verified,25000,active,travelcorp.com
B000010,2025-04-17 03:22:00,A0149,U00099,flight,international,IN,US,51,1012.24,3,credit_line,confirmed,0,legit,47c673ff-3089-408e-afeb-0e4e2d9c3b8b,02b977aaf555a0b4,169.153.51.15,47338,0,Windows,Chrome,408,0,E000010,0,0,0,0,0.0,0.0,3,0,agent,2109,6.46,0.0296,active,1,0,legit,IN,2900,verified,10000,active,travelworks.sg
B000011,2025-09-13 03:10:00,A0154,U00581,flight,international,IN,US,70,1370.62,1,credit_line,confirmed,0,legit,529eabe1-d0f0-464d-a429-f4515090cc2b,3531e3ccde937cfa,130.73.45.15,63916,0,Windows,Chrome,841,0,E000011,0,0,0,0,0.0,0.0,1,0,agent,519,3.01,0.0174,active,0,0,legit,AE,1159,verified,25000,active,flyscope.ae
B000012,2025-09-16 05:11:00,A0102,U00513,flight,international,IN,IN,30,423.8,3,credit_line,confirmed,0,legit,8311d206-fb5a-4274-9f43-2c607760a9cf,a2b1228a0cb72fb4,154.151.242.161,54934,0,Windows,Safari,1055,0,E000012,0,0,0,0,0.0,0.0,3,1,admin,2413,11.06,0.0106,active,1,0,legit,SG,950,verified,5000,active,flynext.sg
B000013,2025-12-29 20:05:00,A0145,U00117,flight,domestic,IN,IN,14,234.38,4,credit_line,confirmed,0,legit,a8f37133-63ac-4e33-afe3-f5ddd6d0523c,a107a43b9c3d6c3a,40.239.252.106,56131,0,Windows,Safari,398,0,E000013,0,0,0,0,0.0,0.0,4,1,agent,1944,2.51,0.0509,active,1,0,legit,IN,1021,verified,50000,active,travelprime.com
B000014,2025-12-31 06:12:00,A0168,U00018,flight,domestic,IN,IN,9,457.31,1,card,confirmed,0,legit,d6e65a4a-f92e-408b-a8af-83ebf5495bea,cc859875533927b3,156.218.50.140,91681,0,macOS,Chrome,679,0,E000014,0,0,0,0,0.0,0.0,1,0,admin,2431,2.18,0.0233,active,1,0,legit,IN,1180,pending,10000,active,airdesk.uk
B000015,2025-11-10 03:53:00,A0176,U00298,hotel,international,SG,UK,61,351.2,3,bank,confirmed,0,legit,e2d95cf7-e73f-4ce8-9d72-7c213921a346,2d58b7bb289b311f,162.187.125.243,83894,0,Android,Edge,564,0,E000015,0,0,0,0,0.0,0.0,3,0,agent,1809,9.8,0.023,active,1,0,legit,IN,1149,verified,10000,active,aerobiz.uk
B000016,2025-05-04 07:21:00,A0148,U00059,flight,domestic,IN,IN,9,57.07,2,credit_line,confirmed,1,new device/ip + short lead time,b616055c-211f-4d3e-8ad7-299b8b208524,3919473e785ebb06,164.188.131.185,92348,0,macOS,Chrome,40,1,E000016,0,0,0,0,0.0,0.0,2,2,admin,308,18.01,0.5273,active,1,1,account_takeover,AE,2944,verified,25000,active,globalwings.co
B000017,2025-07-21 18:14:00,A0025,U00455,flight,domestic,UK,UK,12,320.5,4,credit_line,confirmed,0,legit,5e61fdcd-7741-4488-bd95-14bf5c39606d,8899562b4bd247b2,117.176.189.250,76013,0,Windows,Edge,231,0,E000017,0,0,0,0,0.0,0.0,4,0,agent,703,10.26,0.0223,active,0,0,legit,AE,845,verified,5000,active,travelprime.com
B000018,2025-05-19 23:23:00,A0010,U00183,flight,domestic,US,US,15,669.8,3,bank,confirmed,0,legit,1845215d-5389-411e-b79d-a13760706ede,7c894c2ac0572fd3,7.39.198.35,24219,0,Android,Edge,1555,0,E000018,0,0,0,0,0.0,0.0,3,0,agent,493,6.23,0.078,active,1,0,legit,UK,128,verified,25000,active,bookmyflight.in
B000019,2025-10-25 03:34:00,A0153,U00156,hotel,domestic,IN,IN,17,605.48,2,credit_line,confirmed,0,legit,1ab26346-676a-49d3-b1d1-d8fdd0fa9b4b,05ebe8a3c618f4be,25.70.155.230,83402,0,Windows,Chrome,405,0,E000019,0,0,0,0,0.0,0.0,2,0,agent,788,5.6,0.0503,active,1,0,legit,IN,665,verified,25000,active,airventure.com
B000020,2025-12-01 00:58:00,A0067,U00274,hotel,domestic,AE,AE,9,179.54,2,credit_line,confirmed,0,legit,cb4ec2d5-1b06-446d-8616-a16c714f1834,9ea1d8ba32676e83,32.65.122.66,75585,0,Android,Chrome,717,0,E000020,0,0,0,0,0.0,0.0,2,0,agent,1301,3.76,0.0689,locked,0,0,legit,IN,2574,pending,25000,active,airsync.in
B000021,2025-05-24 23:58:00,A0005,U00245,flight,international,IN,IN,1,21698.13,9,credit_line,confirmed,1,credit bustout: high value international + high loss,371ec57f-0b9d-40aa-8454-def6d5cce060,45aa3fe4e1fcd167,138.186.133.157,10813,1,Windows,Chrome,20,0,E000021,0,0,0,0,0.0,0.0,9,6,agent,698,10.94,0.0241,active,0,1,credit_bustout_user,IN,1475,verified,50000,active,transwings.com
B000022,2025-12-25 15:36:00,A0013,U00168,package,domestic,IN,IN,6,399.21,2,credit_line,confirmed,0,legit,4a5b2850-33b1-4cd1-8812-fdf3ce1c89b2,2155f435232b78db,57.188.62.131,55065,0,Windows,Chrome,240,0,E000022,0,0,0,0,0.0,0.0,2,1,agent,1885,8.16,0.0212,active,1,0,legit,UK,2991,pending,100000,active,flydeals.com
B000023,2025-04-07 15:08:00,A0115,U00307,flight,international,UK,TH,59,537.73,2,credit_line,pending,0,legit,2f10c6fa-9829-494f-a98a-b21c28aa8785,0f6325303dfb0185,247.63.36.45,26016,0,Windows,Chrome,305,0,E000023,0,0,0,0,0.0,0.0,2,0,agent,72,3.08,0.0099,active,1,0,legit,SG,1001,pending,50000,active,travelzen.in
B000024,2025-04-12 11:23:00,A0131,U00145,package,international,IN,SG,1,421.17,10,credit_line,failed,1,new user with risky infra + abnormal velocity,95886efa-630f-49af-85ed-93a04800ba82,4fde6c9bbdd9874b,115.207.194.183,56993,0,Windows,Chrome,88,1,E000024,1,0,0,0,0.0,0.0,10,4,agent,34,31.32,0.0994,active,0,1,new_synthetic_user,IN,2382,pending,10000,active,travease.ae
B000025,2025-10-04 01:30:00,A0069,U00676,flight,international,IN,DE,10,1187.7,1,credit_line,confirmed,0,legit,e30ba484-1043-4964-8ddf-36df0b5b119d,86b4b6af61c1ef6b,45.233.244.221,15928,0,Windows,Chrome,202,0,E000025,0,0,0,0,0.0,0.0,1,0,agent,1626,4.54,0.0423,active,1,0,legit,IN,210,verified,10000,active,travelworks.sg
B000026,2025-12-10 00:53:00,A0068,U00383,flight,international,IN,DE,1,18448.24,1,credit_line,failed,1,credit bustout: high value international + high loss,6662da6d-6112-49a8-8a8b-a8f8429f29c8,5f967ec8fcff85a1,237.132.128.22,13342,1,Windows,Chrome,42,0,E000026,0,0,0,0,0.0,0.0,1,0,agent,852,19.99,0.0776,active,1,1,credit_bustout_user,UK,331,verified,10000,active,globalwings.co
B000027,2025-01-08 02:36:00,A0189,U00736,flight,domestic,UK,UK,14,242.78,9,credit_line,confirmed,0,legit,25277424-4ec7-4fa5-8cd0-3620480d94cd,5c3887f862fb9a8d,160.192.3.202,4121,0,Android,Safari,311,0,E000027,0,0,0,0,0.0,0.0,9,0,admin,1887,3.13,0.0118,active,1,0,legit,AE,1709,verified,100000,active,travelworks.sg
B000028,2025-01-25 16:48:00,A0051,U00035,flight,domestic,SG,SG,13,167.01,3,credit_line,confirmed,0,legit,3ccda527-670f-4683-b852-49097d5bf336,848b01fb0342ef74,108.105.44.246,82111,0,macOS,Edge,565,0,E000028,0,0,0,0,0.0,0.0,3,0,agent,581,7.52,0.0267,active,1,0,legit,US,1534,verified,5000,active,travease.ae
B000029,2025-06-27 14:25:00,A0123,U00173,flight,domestic,US,US,13,556.53,2,credit_line,confirmed,0,legit,11f3209f-9d22-4c71-b4c9-237b898d8968,66b99946a878ebfc,105.13.137.228,48162,0,macOS,Chrome,177,0,E000029,0,0,0,0,0.0,0.0,2,0,agent,481,7.22,0.0179,active,1,0,legit,IN,2012,verified,500000,active,flyhigh.ae
B000030,2025-09-16 13:32:00,A0122,U00252,hotel,international,US,TH,35,2162.98,1,credit_line,confirmed,0,legit,682f256a-e772-49eb-af89-380bfefa3767,c70db872b5e176e1,223.31.18.220,69694,0,Android,Chrome,273,0,E000030,0,0,0,0,0.0,0.0,1,0,agent,625,10.71,0.0216,active,1,0,legit,US,2804,verified,10000,active,globeways.in
B000031,2025-12-03 21:19:00,A0108,U00735,hotel,domestic,IN,IN,16,186.81,2,credit_line,confirmed,0,legit,5a418dcf-bddb-4a58-b8fc-933fa643ee45,de107b772b07543c,6.184.99.13,79973,0,macOS,Edge,147,0,E000031,0,0,0,0,0.0,0.0,2,1,finance,974,10.14,0.0471,active,1,0,legit,UK,65,failed,25000,active,globalwings.co
B000032,2025-07-13 09:36:00,A0039,U00174,flight,international,IN,SG,75,359.34,2,credit_line,confirmed,0,legit,28605cfa-6022-449d-8177-b92b38563a0b,624fb9de55fc124b,92.77.185.6,37258,0,Android,Chrome,112,0,E000032,0,0,0,0,0.0,0.0,2,2,agent,1567,3.44,0.067,active,1,0,legit,SG,1723,verified,200000,active,skyroute.in
B000033,2025-06-30 01:31:00,A0069,U00055,flight,domestic,IN,IN,18,261.71,2,card,confirmed,0,legit,4999e301-651a-490d-ad76-397760ee8dd4,de04f603ce87f2cc,209.217.216.184,58488,0,Windows,Chrome,235,0,E000033,0,0,0,0,0.0,0.0,2,0,agent,2266,4.93,0.0119,active,1,0,legit,IN,210,verified,10000,active,travelworks.sg
B000034,2025-11-01 18:26:00,A0005,U00245,flight,international,AE,UK,1,17457.56,2,credit_line,confirmed,1,credit bustout: high value international + high loss,d7249ef2-f3fb-496e-93e4-82ffb8ec7c66,45aa3fe4e1fcd167,151.138.242.161,12246,1,Windows,Chrome,47,0,E000034,0,0,0,0,0.0,0.0,2,1,agent,698,10.94,0.0241,active,0,1,credit_bustout_user,IN,1475,verified,50000,active,transwings.com
B000035,2025-10-08 06:02:00,A0041,U00678,flight,domestic,AE,AE,5,179.8,2,credit_line,confirmed,0,legit,febcb15b-52b4-4866-8666-7f33f45ae616,19d819f4b3b7af13,49.144.89.235,27470,0,Android,Firefox,239,0,E000035,0,0,0,0,0.0,0.0,2,1,agent,412,11.08,0.0371,active,0,0,legit,IN,2307,verified,10000,active,travelcorp.com
B000036,2025-02-08 19:44:00,A0040,U00066,hotel,international,IN,US,38,941.14,10,credit_line,confirmed,0,legit,a0f1c8ee-11dd-42cb-a194-a0978c64bc67,79cdc30c6736e443,184.152.12.152,9441,0,Windows,Chrome,797,0,E000036,0,0,0,0,0.0,0.0,10,0,admin,729,4.14,0.0468,active,1,0,legit,IN,2115,verified,25000,active,wingcraft.uk
B000037,2025-07-13 05:32:00,A0153,U00185,flight,domestic,IN,IN,1,151.9,8,credit_line,confirmed,1,new device/ip + short lead time,ded71b0d-c82f-4699-a6fe-72df41034e5d,bb47ce5bebb7b440,205.116.167.84,38322,0,Android,Chrome,60,1,E000037,0,0,0,0,0.0,0.0,8,0,finance,1065,20.82,0.5289,active,0,1,account_takeover,IN,665,verified,25000,active,airventure.com
B000038,2025-12-29 16:07:00,A0032,U00604,hotel,domestic,IN,IN,13,463.91,1,card,confirmed,0,legit,b5da1131-0c9a-427d-853f-5210a5eab8f8,fb32dea71d29f5ab,71.70.136.192,88289,0,Windows,Safari,575,0,E000038,0,0,0,0,0.0,0.0,1,0,agent,2139,7.52,0.0652,active,1,0,legit,IN,669,verified,25000,active,aerolink.uk
B000039,2025-08-29 11:40:00,A0001,U00718,flight,domestic,US,US,10,430.8,1,credit_line,confirmed,0,legit,ea1b9670-b1da-4b7c-90e1-1feac50c5e16,a5b06242cdd76535,93.128.239.196,80064,0,Android,Chrome,138,0,E000039,0,0,0,0,0.0,0.0,1,0,finance,122,2.5,0.0059,active,1,0,legit,IN,657,verified,5000,active,travelcorp.com
B000040,2025-07-04 22:40:00,A0076,U00009,flight,international,US,US,19,1101.44,7,credit_line,confirmed,0,legit,708dd546-d866-476e-a345-3f1dec14c0c6,82a1fa47c25aefc7,136.151.7.107,97292,0,iOS,Chrome,311,0,E000040,0,0,0,0,0.0,0.0,7,0,agent,1457,6.41,0.0306,active,1,0,legit,UK,1010,verified,100000,active,jetforce.co
B000041,2025-10-19 01:36:00,A0079,U00377,flight,domestic,IN,IN,6,257.82,1,card,pending,0,legit,24080096-387e-4cc9-bca6-5736a725fb1e,324f33269d828bc9,91.211.8.106,62064,0,macOS,Safari,784,0,E000041,0,0,0,0,0.0,0.0,1,1,agent,1258,3.82,0.0086,active,1,0,legit,IN,157,verified,10000,active,skyroute.in
B000042,2025-05-10 02:42:00,A0008,U00467,flight,international,IN,US,57,1883.94,3,credit_line,confirmed,0,legit,14cf42c3-a4f3-4c0c-ba45-af040ddbc3fc,664562f0f9c21812,210.34.182.76,1384,0,Android,Edge,407,0,E000042,0,0,0,0,0.0,0.0,3,0,agent,48,3.19,0.0395,active,1,0,legit,US,2587,verified,5000,active,airdesk.uk
B000043,2025-04-06 18:21:00,A0060,U00479,flight,international,IN,TH,18,603.67,4,card,confirmed,0,legit,f2580008-b226-4039-8b50-983a1bc85e87,b920629b92b2d6cb,242.163.18.183,53941,0,macOS,Chrome,383,0,E000043,0,0,0,0,0.0,0.0,4,0,agent,1950,7.01,0.0013,active,1,0,legit,IN,2554,verified,5000,active,horizonair.co
B000044,2025-03-27 13:45:00,A0074,U00090,hotel,international,US,IN,43,874.82,2,credit_line,confirmed,0,legit,f5932989-bb3e-4361-9cad-60a59693ed94,27b64a8f16ce9464,170.160.174.132,21866,0,iOS,Chrome,629,0,E000044,0,0,0,0,0.0,0.0,2,0,agent,235,13.09,0.0068,active,1,0,legit,UK,220,pending,50000,active,flyscope.ae
B000045,2025-12-09 15:26:00,A0045,U00304,flight,domestic,US,US,8,427.72,1,credit_line,confirmed,0,legit,2ff79ae3-e8e5-4291-85bc-eb288b3a81c7,cc0b89cbe35b23fd,179.40.96.18,72172,0,Windows,Chrome,361,0,E000045,0,0,0,0,0.0,0.0,1,0,finance,102,10.5,0.0414,active,1,0,legit,IN,2104,pending,10000,active,transwings.com
B000046,2025-06-03 23:38:00,A0186,U00656,flight,domestic,IN,IN,9,117.68,4,bank,confirmed,0,legit,df7b9ff4-d625-4802-b853-8add28fad325,6cde48aff1e417d4,132.167.8.93,8715,0,Android,Firefox,139,0,E000046,0,0,0,0,0.0,0.0,4,1,agent,1041,3.21,0.0585,active,1,0,legit,SG,2938,verified,25000,active,flybright.ae
B000047,2025-11-28 23:56:00,A0058,U00579,hotel,domestic,IN,IN,7,150.72,4,bank,confirmed,0,legit,78775afd-386a-4af3-8e22-13de7eb66b51,d9af10ced1d5c980,95.37.211.137,51110,0,Windows,Edge,60,0,E000047,0,0,0,0,0.0,0.0,4,0,agent,887,5.58,0.0294,active,0,0,legit,IN,1273,pending,50000,active,swiftfly.in
B000048,2025-06-18 13:26:00,A0021,U00662,flight,international,IN,US,38,1209.15,1,bank,confirmed,0,legit,74827cc1-891c-4ffc-9699-b90720d09db8,552fa536fd1ef5a4,110.182.109.232,47654,0,Windows,Edge,344,0,E000048,0,0,0,0,0.0,0.0,1,1,agent,1357,4.02,0.0091,active,1,0,legit,SG,1633,verified,50000,active,quicktrips.com
B000049,2025-07-30 06:51:00,A0063,U00494,hotel,international,AE,FR,24,1190.82,6,credit_line,confirmed,0,legit,9c342526-c6e4-4b56-8385-fcea7139557e,2d247009e361505a,224.21.225.167,25068,0,macOS,Chrome,84,0,E000049,1,0,0,0,0.0,0.0,6,0,agent,1367,4.62,0.034,active,1,0,legit,UK,2176,pending,10000,active,tourhub.in
B000050,2025-10-25 22:59:00,A0020,U00754,flight,international,SG,UK,49,751.85,5,credit_line,confirmed,0,legit,6f48f288-22f4-41d6-bf42-da55765ce3d0,7ab0bb4fc927d342,47.139.120.243,49063,0,iOS,Chrome,164,0,E000050,0,0,0,0,0.0,0.0,5,1,finance,2232,4.85,0.105,active,1,0,legit,IN,190,pending,100000,active,horizonair.co
B000051,2025-10-22 06:39:00,A0001,U00713,flight,domestic,AE,AE,14,167.91,1,credit_line,confirmed,0,legit,ad2e35ec-ef7f-4d70-9c76-5f244804c240,f44a3aca7c8721a0,191.30.67.39,26285,0,Windows,Firefox,211,0,E000051,0,0,0,0,0.0,0.0,1,1,agent,2270,6.58,0.0378,active,1,0,legit,IN,657,verified,5000,active,travelcorp.com
B000052,2025-11-20 14:36:00,A0168,U00531,hotel,domestic,US,US,14,70.44,1,credit_line,confirmed,0,legit,0cea5992-e4b8-41be-96ab-0c8a7b4ad046,4bf723340233382d,122.87.99.28,26511,0,Android,Chrome,634,0,E000052,0,0,0,0,0.0,0.0,1,0,agent,761,11.51,0.0217,active,1,0,legit,IN,1180,pending,10000,active,airdesk.uk
B000053,2025-01-05 14:11:00,A0152,U00639,hotel,international,IN,DE,53,2066.54,2,credit_line,confirmed,0,legit,859d6316-3b4e-42d8-813a-47d7b3d1d217,a5b06242cdd76535,169.69.81.61,42103,0,Android,Chrome,382,0,E000053,0,0,0,0,0.0,0.0,2,0,agent,259,0.0,0.0283,active,1,0,legit,IN,399,verified,10000,active,aerolink.uk
B000054,2025-09-01 07:46:00,A0119,U00420,flight,domestic,UK,UK,9,192.21,5,bank,confirmed,0,legit,bfd8b29c-aa44-4d2b-8163-108b56247652,84d9fb960c3190e2,241.219.139.131,3043,0,macOS,Chrome,624,0,E000054,0,0,0,0,0.0,0.0,5,0,agent,343,6.07,0.0488,active,1,0,legit,US,1145,verified,10000,active,skyroute.in
