booking_id,fraud_label,fraud_reason,oval1_score,oval2_score,oval3_score,max_score
B000001,1,shared infra across multiple fraud users,0.0001246097672265023,5.5593016440980136e-05,0.0010332794627174735,0.0010332794627174735
B000002,1,credit bustout: high value international + high loss,0.0001250992645509541,0.0010682828724384308,6.366152229020372e-05,0.0010682828724384308
B000003,0,legit,0.00012496182171162218,1.4896670563757652e-06,1.2644116395676974e-05,0.00012496182171162218
B000004,0,legit,0.00012483206228353083,3.4107599731214577e-06,1.6901181879802607e-05,0.00012483206228353083
B000005,0,legit,0.0001249971246579662,2.9719549274886958e-05,2.862920518964529e-05,0.0001249971246579662
B000006,0,legit,0.00012485652405302972,9.499724455963587e-07,2.2207534129847772e-05,0.00012485652405302972
B000007,0,legit,0.0001262745790882036,1.0048402145912405e-05,9.103875527216587e-06,0.0001262745790882036
B000008,0,legit,0.0001249819906661287,1.7673804904916324e-05,1.3610614587378222e-05,0.0001249819906661287
B000009,0,legit,0.00012499408330768347,7.180608008638956e-06,2.34431881835917e-05,0.00012499408330768347
B000010,0,legit,0.00012501407763920724,2.3837587832531426e-06,4.914526925858809e-06,0.00012501407763920724
B000011,0,legit,0.00012521077587734908,1.944728182934341e-06,9.247218258678913e-06,0.00012521077587734908
B000012,0,legit,0.00012530668755061924,2.764425971690798e-06,1.2198513104522135e-05,0.00012530668755061924
B000013,0,legit,0.00012501084711402655,3.2262389140669256e-05,7.703441951889545e-06,0.00012501084711402655
B000014,0,legit,0.0001250190834980458,3.6663288938143523e-06,1.2694271390500944e-05,0.0001250190834980458
B000015,0,legit,0.0001251000794582069,1.6396718365285778e-06,1.0394785022072028e-05,0.0001251000794582069
B000016,1,new device/ip + short lead time,0.00012422558211255819,0.0005363490199670196,0.0023157186806201935,0.0023157186806201935
B000017,0,legit,0.00012492964742705226,1.7026654859364498e-06,1.0905460840149317e-05,0.00012492964742705226
B000018,0,legit,0.0001252281217603013,1.1169040590175427e-06,1.0674235454644077e-05,0.0001252281217603013
B000019,0,legit,0.00012503135076258332,2.2473288936453173e-06,6.624580692005111e-06,0.00012503135076258332
B000020,0,legit,0.00012522775796242058,1.3739528185396921e-05,5.99623899688595e-06,0.00012522775796242058
B000021,1,credit bustout: high value international + high loss,0.00012431570212356746,0.00011786182585638016,0.0005932499771006405,0.0005932499771006405
B000022,0,legit,0.0001249065826414153,2.3916076315799728e-05,1.2321776011958718e-05,0.0001249065826414153
B000023,0,legit,0.00012492657697293907,2.0821873476961628e-05,1.1952906788792461e-05,0.00012492657697293907
B000024,1,new user with risky infra + abnormal velocity,0.00012472191883716732,8.719474135432392e-05,0.0011896488722413778,0.0011896488722413778
B000025,0,legit,0.00012500783486757427,1.1531104064488318e-05,1.1150263162562624e-05,0.00012500783486757427
B000026,1,credit bustout: high value international + high loss,0.0001246603496838361,0.00020977554959245026,0.000961383106186986,0.000961383106186986
B000027,0,legit,0.00012488846550695598,8.010637429833878e-06,1.396468451275723e-05,0.00012488846550695598
B000028,0,legit,0.0001249883061973378,3.433415258768946e-06,7.257367087731836e-06,0.0001249883061973378
B000029,0,legit,0.00012492829409893602,8.687947229191195e-06,9.521131687506568e-06,0.00012492829409893602
B000030,0,legit,0.0001249941997230053,1.128043277276447e-05,1.271152632398298e-05,0.0001249941997230053
B000031,0,legit,0.00012497494753915817,9.315528586739674e-06,1.977075226022862e-05,0.00012497494753915817
B000032,0,legit,0.00012488989159464836,8.618355309408798e-07,1.820663055696059e-05,0.00012488989159464836
B000033,0,legit,0.00012505917402449995,1.1986549907305744e-05,5.564674211200327e-06,0.00012505917402449995
B000034,1,credit bustout: high value international + high loss,0.00012487660569604486,0.000571135024074465,0.0006903746398165822,0.0006903746398165822
B000035,0,legit,0.0001249311026185751,5.368272582018108e-07,1.1716159860952757e-05,0.0001249311026185751
B000036,0,legit,0.00012509578664321452,4.102162620256422e-06,7.35701723897364e-06,0.00012509578664321452
B000037,1,new device/ip + short lead time,0.0001240791752934456,0.0005241205799393356,0.0024476246908307076,0.0024476246908307076
B000038,0,legit,0.00012503871403168887,7.37913751436281e-07,1.0317709893570282e-05,0.00012503871403168887
B000039,0,legit,0.00012498717114795,3.117502046734444e-06,1.7544547517900355e-05,0.00012498717114795
