session_id,booking_id,device_fingerprint,ip_address,asn,is_vpn_or_proxy,os,browser,time_to_book_seconds,device_switch_flag
d5f0b9c8-556a-4cde-af57-f00e95d8607a,B000001,d0057c74a7ffee4b,149.171.156.40,99914,0,Android,Chrome,48,1
24f7675a-37e7-4849-a114-b0358f2fd17b,B000002,3ddbdb25ceb330e5,123.162.129.23,44839,0,iOS,Chrome,45,0
3cec373d-ce5c-4d2b-a090-22cfb7fe62d0,B000003,c802ce308ab84b82,5.38.248.97,59354,0,macOS,Firefox,478,0
a18aa7d5-f8d8-4c10-b29b-564923811da9,B000004,c1820b45e082fc67,97.60.235.80,84719,0,macOS,Chrome,187,0
6ce61576-5bdb-41fd-8130-2d4ef60f5ed7,B000005,221af74ceee45242,154.132.66.129,36786,0,Android,Chrome,485,0
1589d813-654e-49b6-8788-86a8c3b8283e,B000006,43bc9669a6237d78,117.125.190.44,16495,0,macOS,Chrome,114,0
7679c5e4-6259-4034-9f12-3d46c4c446a4,B000007,886ce040f8133afa,71.226.93.216,50773,0,macOS,Chrome,2935,0
54db33a9-aa8e-40b1-9cd7-6509efa30518,B000008,94013b226f081804,64.229.114.157,8760,0,Windows,Chrome,228,0
74b68156-35d7-4086-ab7a-19344fb8671d,B000009,7090a934dc85a164,108.105.44.246,18779,0,Windows,Chrome,693,0
47c673ff-3089-408e-afeb-0e4e2d9c3b8b,B000010,02b977aaf555a0b4,169.153.51.15,47338,0,Windows,Chrome,408,0
529eabe1-d0f0-464d-a429-f4515090cc2b,B000011,3531e3ccde937cfa,130.73.45.15,63916,0,Windows,Chrome,841,0
8311d206-fb5a-4274-9f43-2c607760a9cf,B000012,a2b1228a0cb72fb4,154.151.242.161,54934,0,Windows,Safari,1055,0
a8f37133-63ac-4e33-afe3-f5ddd6d0523c,B000013,a107a43b9c3d6c3a,40.239.252.106,56131,0,Windows,Safari,398,0
d6e65a4a-f92e-408b-a8af-83ebf5495bea,B000014,cc859875533927b3,156.218.50.140,91681,0,macOS,Chrome,679,0
e2d95cf7-e73f-4ce8-9d72-7c213921a346,B000015,2d58b7bb289b311f,162.187.125.243,83894,0,Android,Edge,564,0
b616055c-211f-4d3e-8ad7-299b8b208524,B000016,3919473e785ebb06,164.188.131.185,92348,0,macOS,Chrome,40,1
5e61fdcd-7741-4488-bd95-14bf5c39606d,B000017,8899562b4bd247b2,117.176.189.250,76013,0,Windows,Edge,231,0
1845215d-5389-411e-b79d-a13760706ede,B000018,7c894c2ac0572fd3,7.39.198.35,24219,0,Android,Edge,1555,0
1ab26346-676a-49d3-b1d1-d8fdd0fa9b4b,B000019,05ebe8a3c618f4be,25.70.155.230,83402,0,Windows,Chrome,405,0
cb4ec2d5-1b06-446d-8616-a16c714f1834,B000020,9ea1d8ba32676e83,32.65.122.66,75585,0,Android,Chrome,717,0
371ec57f-0b9d-40aa-8454-def6d5cce060,B000021,45aa3fe4e1fcd167,138.186.133.157,10813,1,Windows,Chrome,20,0
4a5b2850-33b1-4cd1-8812-fdf3ce1c89b2,B000022,2155f435232b78db,57.188.62.131,55065,0,Windows,Chrome,240,0
2f10c6fa-9829-494f-a98a-b21c28aa8785,B000023,0f6325303dfb0185,247.63.36.45,26016,0,Windows,Chrome,305,0
95886efa-630f-49af-85ed-93a04800ba82,B000024,4fde6c9bbdd9874b,115.207.194.183,56993,0,Windows,Chrome,88,1
e30ba484-1043-4964-8ddf-36df0b5b119d,B000025,86b4b6af61c1ef6b,45.233.244.221,15928,0,Windows,Chrome,202,0
6662da6d-6112-49a8-8a8b-a8f8429f29c8,B000026,5f967ec8fcff85a1,237.132.128.22,13342,1,Windows,Chrome,42,0
25277424-4ec7-4fa5-8cd0-3620480d94cd,B000027,5c3887f862fb9a8d,160.192.3.202,4121,0,Android,Safari,311,0
3ccda527-670f-4683-b852-49097d5bf336,B000028,848b01fb0342ef74,108.105.44.246,82111,0,macOS,Edge,565,0
11f3209f-9d22-4c71-b4c9-237b898d8968,B000029,66b99946a878ebfc,105.13.137.228,48162,0,macOS,Chrome,177,0
682f256a-e772-49eb-af89-380bfefa3767,B000030,c70db872b5e176e1,223.31.18.220,69694,0,Android,Chrome,273,0
5a418dcf-bddb-4a58-b8fc-933fa643ee45,B000031,de107b772b07543c,6.184.99.13,79973,0,macOS,Edge,147,0
28605cfa-6022-449d-8177-b92b38563a0b,B000032,624fb9de55fc124b,92.77.185.6,37258,0,Android,Chrome,112,0
4999e301-651a-490d-ad76-397760ee8dd4,B000033,de04f603ce87f2cc,209.217.216.184,58488,0,Windows,Chrome,235,0
d7249ef2-f3fb-496e-93e4-82ffb8ec7c66,B000034,45aa3fe4e1fcd167,151.138.242.161,12246,1,Windows,Chrome,47,0
febcb15b-52b4-4866-8666-7f33f45ae616,B000035,19d819f4b3b7af13,49.144.89.235,27470,0,Android,Firefox,239,0
a0f1c8ee-11dd-42cb-a194-a0978c64bc67,B000036,79cdc30c6736e443,184.152.12.152,9441,0,Windows,Chrome,797,0
ded71b0d-c82f-4699-a6fe-72df41034e5d,B000037,bb47ce5bebb7b440,205.116.167.84,38322,0,Android,Chrome,60,1
b5da1131-0c9a-427d-853f-5210a5eab8f8,B000038,fb32dea71d29f5ab,71.70.136.192,88289,0,Windows,Safari,575,0
ea1b9670-b1da-4b7c-90e1-1feac50c5e16,B000039,a5b06242cdd76535,93.128.239.196,80064,0,Android,Chrome,138,0
708dd546-d866-476e-a345-3f1dec14c0c6,B000040,82a1fa47c25aefc7,136.151.7.107,97292,0,iOS,Chrome,311,0
24080096-387e-4cc9-bca6-5736a725fb1e,B000041,324f33269d828bc9,91.211.8.106,62064,0,macOS,Safari,784,0
14cf42c3-a4f3-4c0c-ba45-af040ddbc3fc,B000042,664562f0f9c21812,210.34.182.76,1384,0,Android,Edge,407,0
f2580008-b226-4039-8b50-983a1bc85e87,B000043,b920629b92b2d6cb,242.163.18.183,53941,0,macOS,Chrome,383,0
f5932989-bb3e-4361-9cad-60a59693ed94,B000044,27b64a8f16ce9464,170.160.174.132,21866,0,iOS,Chrome,629,0
2ff79ae3-e8e5-4291-85bc-eb288b3a81c7,B000045,cc0b89cbe35b23fd,179.40.96.18,72172,0,Windows,Chrome,361,0
df7b9ff4-d625-4802-b853-8add28fad325,B000046,6cde48aff1e417d4,132.167.8.93,8715,0,Android,Firefox,139,0
78775afd-386a-4af3-8e22-13de7eb66b51,B000047,d9af10ced1d5c980,95.37.211.137,51110,0,Windows,Edge,60,0
74827cc1-891c-4ffc-9699-b90720d09db8,B000048,552fa536fd1ef5a4,110.182.109.232,47654,0,Windows,Edge,344,0
9c342526-c6e4-4b56-8385-fcea7139557e,B000049,2d247009e361505a,224.21.225.167,25068,0,macOS,Chrome,84,0
6f48f288-22f4-41d6-bf42-da55765ce3d0,B000050,7ab0bb4fc927d342,47.139.120.243,49063,0,iOS,Chrome,164,0
ad2e35ec-ef7f-4d70-9c76-5f244804c240,B000051,f44a3aca7c8721a0,191.30.67.39,26285,0,Windows,Firefox,211,0
0cea5992-e4b8-41be-96ab-0c8a7b4ad046,B000052,4bf723340233382d,122.87.99.28,26511,0,Android,Chrome,634,0
859d6316-3b4e-42d8-813a-47d7b3d1d217,B000053,a5b06242cdd76535,169.69.81.61,42103,0,Android,Chrome,382,0
bfd8b29c-aa44-4d2b-8163-108b56247652,B000054,84d9fb960c3190e2,241.219.139.131,3043,0,macOS,Chrome,624,0
8f64d193-2e05-4072-9a26-963518c40f88,B000055,5fd0edbf21d0b373,219.23.4.72,43629,0,Windows,Chrome,428,0
16fedd82-50e9-4132-9aad-732c20c5ec21,B000056,f59435e0cb5d3263,7.104.153.95,16456,0,Windows,Chrome,168,1
1996a98d-5791-4eca-a4a0-53f9ba357d10,B000057,5f70de279f5539ac,118.226.59.201,96918,0,Android,Chrome,1631,0
7037adb1-3732-420f-9dad-e53f8387522e,B000058,ed155d9b668f4c98,19.157.208.33,24234,0,Android,Chrome,129,0
24254215-4cdd-45f5-a227-cdf9c770f3c7,B000059,924494317b369920,86.66.63.45,20936,0,Windows,Chrome,468,0
314fce2b-3387-477a-8eec-5ec13c6e1925,B000060,86b4b6af61c1ef6b,203.162.37.16,46222,0,Windows,Chrome,123,0
a0646aba-be37-43e7-b193-babbd9b67b02,B000061,838eb0c24667081f,153.234.9.149,79175,0,macOS,Chrome,551,0
8d49311e-cad1-4504-8de8-af848b794435,B000062,a052bdc66a808a98,129.67.197.152,57053,0,Windows,Chrome,243,0
51218217-74dc-4499-80b5-0b489ea9027b,B000063,ef6bd9846b50952c,208.224.131.156,58731,0,Android,Edge,203,0
0941944e-54bc-415a-a55c-f18ed212064b,B000064,dc2d2a1af3735572,27.127.201.197,31971,1,Windows,Safari,46,1
e33ee3f0-3aee-4f85-8c11-02a04607afab,B000065,890e8ecc29a1cb9e,58.20.121.106,7410,0,macOS,Chrome,176,0
c3d217fd-ca51-4d3a-98e9-eb7b2f6da8b4,B000066,b2f9f66d5c96066e,158.116.51.249,27419,0,macOS,Chrome,163,0
68276b99-e1a7-4370-8e6e-99dd5820bd53,B000067,ecb080a8328301bd,173.187.186.254,90032,0,macOS,Firefox,43,1
89923e16-f4fe-4232-a6a6-cee3159c36f4,B000068,990f336c2c7c883a,63.66.168.111,8360,0,Windows,Chrome,470,0
c361265d-d2ed-4265-aed6-0352065f8516,B000069,dc2d2a1af3735572,175.239.217.123,37512,0,Windows,Safari,195,0
53c06b87-7613-4b7d-ada3-ab9892c9ea75,B000070,81196c9700e45d6e,23.206.152.74,10756,1,Windows,Edge,521,0
e990f2cb-916e-4978-ac52-55ed565d32cb,B000071,995512bd9b079d4c,173.163.35.99,69557,0,Android,Chrome,384,0
58758f2f-4fab-4b49-82ca-458de31c9d8d,B000072,6a48a2c03dbd9ca6,192.133.188.185,89838,0,iOS,Chrome,223,0
02375f4e-eaa2-4e9a-859d-98f9ab48fe89,B000073,84d9fb960c3190e2,241.219.139.131,59541,0,macOS,Chrome,603,0
3d20aa9b-ae19-44d3-bea8-978aa280410e,B000074,64c6eb1331e569a7,190.58.186.204,6908,0,Windows,Chrome,150,0
d3855d29-4934-487d-84d9-da5479b1203b,B000075,45e57d6a26cffbd7,218.89.3.59,37574,0,macOS,Chrome,508,0
eacc5b79-9ec3-43e4-8e74-a9db0328f65e,B000076,467faeaf50b668cb,215.188.146.35,7955,0,Windows,Chrome,919,0
b9cd9415-2107-4f3d-9506-82fba41c1227,B000077,9645177d3a628e8b,235.37.12.146,48686,0,Android,Edge,617,0
5fb39ed6-2dea-4e82-864d-6b55812f420c,B000078,549c806d979dee05,20.123.20.160,45372,0,Windows,Safari,157,0
6d248d01-3055-464b-8b98-1c23efe736c2,B000079,6c76fc3fbc61c49b,124.134.93.185,30067,1,Windows,Edge,71,1
e292aea0-a22c-474e-a5b8-14e616ba11d3,B000080,6cb7d313f1d21267,191.254.30.196,91746,0,Windows,Chrome,184,0
bd5a783c-35c4-4dc5-a80e-60d0db7af5fb,B000081,fdda6dd2dca34790,126.12.88.83,80982,0,Windows,Chrome,2545,0
2a15bcd3-7da8-4a15-84d7-b3b04989deea,B000082,bb47ce5bebb7b440,96.9.73.191,11588,1,Android,Chrome,41,1
0cf812a4-e7ec-4529-9b27-fc01a6fb9818,B000083,924494317b369920,47.159.121.72,82381,0,Windows,Chrome,209,0
45ce0068-5553-43c4-9e6b-0d365ee3b378,B000084,551171efb8760406,199.116.14.245,34066,1,Android,Chrome,40,1
3dcb1207-30ff-4bb9-8e33-10b1d851f4a0,B000085,d7781a9145686e2b,27.111.248.219,23193,0,macOS,Chrome,348,0
3271a099-7b1d-4be9-a218-86d9c4091cad,B000086,ce51820cecfa6602,106.181.114.116,54953,0,Android,Chrome,1033,0
fd8224c7-2361-45da-9ac1-dd5da3c201a1,B000087,afc1737340a565d1,13.87.67.127,44773,0,Windows,Edge,258,0
df4a197d-1de5-4a8c-9ac8-40758110b27f,B000088,e29dac988175512d,226.150.84.164,93908,0,Windows,Chrome,180,0
852df50f-0e4b-40d7-b7aa-4b698b5308d4,B000089,5719b210261e8694,90.87.141.164,46225,0,Android,Chrome,364,0
615fb6b1-6808-4772-adbf-f8ac71e492c3,B000090,a2dc2c9a77f965fa,192.133.202.125,25484,0,iOS,Chrome,449,0
8917943c-d8fd-407a-9a6e-4b8b55bc29d6,B000091,2d58b7bb289b311f,251.173.130.201,67613,0,Android,Edge,135,0
aac7257e-ce3f-462f-9dba-8454c104b84e,B000092,21f2200ceaf6cefd,183.56.78.23,77533,0,Android,Safari,218,0
06a33e6a-bb28-4595-b44e-bde30a969cd9,B000093,b66b632ce29b244e,105.13.137.228,47935,0,Android,Chrome,219,0
4a3a4079-706f-47ae-8836-81b3c70cf228,B000094,c70db872b5e176e1,223.31.18.220,68828,0,Android,Chrome,517,0
794fe55a-eabb-4c75-9f17-fe1262470820,B000095,29536ee3c0ab58f4,203.209.113.42,68106,0,Android,Firefox,718,0
a9545d3a-caeb-4ce5-8f54-db067781423e,B000096,db7657cf148b6b0a,169.153.51.15,84868,0,Windows,Chrome,185,0
44f1ce83-02d7-4053-adf6-91f21195ef93,B000097,fcebefa86c985faf,91.82.169.246,60135,0,Windows,Chrome,291,0
c3382f3e-48d1-4f18-950c-7478b6ac538c,B000098,43dc3d2c6389d0ce,114.168.221.203,83369,0,Android,Chrome,371,0
547a2dbe-aacb-4aca-9209-0180d290ab85,B000099,4924393e03a2995e,9.81.98.139,17752,0,Windows,Chrome,238,0
25fd8625-2f9b-4efe-95bd-de0c00b9ed84,B000100,cd4acdb6ab90e3e9,237.186.213.246,68355,0,Windows,Chrome,43,0
4706b091-e0a9-48ad-a894-1eb6c59622de,B000101,4fde6c9bbdd9874b,49.195.65.10,30594,1,Windows,Chrome,106,1
40630824-4962-4f69-8ae0-2ebd389a9625,B000102,324f33269d828bc9,91.211.8.106,27757,0,macOS,Safari,615,0
76ecb76b-eab5-40d1-add9-4e7ab4e0c618,B000103,b2f9f66d5c96066e,158.116.51.249,97671,0,macOS,Chrome,156,0
7418351e-26a7-486d-b4b8-76cc54df4695,B000104,8ee32bb73c43b969,123.145.177.186,78633,0,macOS,Chrome,508,0
22c2e67a-7533-4b2d-a23d-61ceb71ff6cd,B000105,8251a3cd2f959977,36.59.147.26,52927,0,Windows,Chrome,578,0
d790db39-09e0-4396-8cb8-6c8028d595e4,B000106,dc2d2a1af3735572,141.106.190.53,15595,0,Windows,Safari,392,0
cd23fdad-af97-4d4a-a504-bd70675713f6,B000107,9f32e2436dd0db4a,207.138.204.230,95689,0,macOS,Firefox,788,0
8fc81d11-a813-4793-889e-a1d04c2d9613,B000108,6fd2d760b36713fa,241.219.139.131,74135,0,Windows,Chrome,406,0
6784a4e3-50f8-4dbe-a090-2accdb1ce5af,B000109,476b113a027a008f,97.60.235.80,91587,0,macOS,Chrome,314,0
6c9a8b13-9ce0-4ac0-9d96-6fbbba63aa38,B000110,2d247009e361505a,224.21.225.167,36949,0,macOS,Chrome,616,0
c058c98c-1fe7-4c8c-921d-701df127f7b8,B000111,fb32dea71d29f5ab,71.70.136.192,66687,0,Windows,Safari,1141,0
07b3f19c-8eb5-4fa2-b22a-9f74b3f6abb7,B000112,b655dc5504e807c5,104.193.234.250,74201,0,Android,Chrome,139,0
304a3eb4-4a45-41c8-bebb-750141979dd2,B000113,f59435e0cb5d3263,59.226.120.94,1079,0,Windows,Chrome,138,0
489fbb0f-bacd-42b2-bcec-a521e75226c6,B000114,b2f9f66d5c96066e,136.151.7.107,28406,0,macOS,Chrome,889,0
9e3ce098-b263-4d5a-a035-44ddae1c9350,B000115,848b01fb0342ef74,196.101.61.141,6957,0,macOS,Edge,281,0
